house_index,bedrooms,property_type,property_subtype,locality,postal_code,street,number,box,kitchen,facades,price,furnished,terrace,terraceSurface,fireplace,fireplaceCount,buildingState,garden,gardenSurface,pool,landSurface,livingArea,surfaceOfThePlot,typeOfSale
7029,7,HOUSE,HOUSE,Antwerpen,2018,Jan van Rijswijcklaan,68,,0,2,1195000,0,0,0,0,0,TO_BE_DONE_UP,0,0,0,235,464,235,
7028,5,HOUSE,VILLA,Brasschaat,2930,Hondjesberglei,1,,1,2,1185000,0,1,44,1,1,GOOD,0,0,0,1561,332,1561,
7034,6,HOUSE,VILLA,Kapellen,2950,Brasschaatselei,12,,0,4,2275000,0,0,0,0,0,GOOD,1,3600,0,3600,719,3600,
7032,5,HOUSE,EXCEPTIONAL_PROPERTY,Antwerpen,2000,Vlaamsekaai,10,,0,2,1445000,0,0,0,0,0,TO_BE_DONE_UP,0,0,0,251,626,251,
7033,6,HOUSE,EXCEPTIONAL_PROPERTY,Uccle,1180,Avenue de l'Echevinage,18,,1,2,2190000,0,1,49,0,0,GOOD,1,580,0,890,636,890,
7035,2,HOUSE,HOUSE,Gent,9000,Kaprijkestraat,50,/,1,2,289000,0,0,0,0,0,GOOD,0,0,0,30,58,30,
7037,3,HOUSE,HOUSE,Tielt,8700,Holdestraat,71,,1,3,389000,0,1,25,0,0,JUST_RENOVATED,1,140,0,213,,213,
7039,6,APARTMENT,APARTMENT,Bruxelles,1020,Rue Stéphanie - Stefaniastraat,174,,1,2,445000,0,0,0,0,0,AS_NEW,0,0,0,,220,,
7036,4,HOUSE,HOUSE,Hulshout,2235,Heibaan,108,,0,,335000,0,0,0,0,0,TO_RENOVATE,0,0,0,1250,215,1250,
7038,3,HOUSE,HOUSE,Tielt (8700),8700,Weverijstraat,30,,0,,397400,0,1,,0,0,GOOD,0,0,0,270,152,270,
7040,5,HOUSE,VILLA,Heusden,9070,Veerdreef,5,,1,4,1150000,0,1,60,1,1,AS_NEW,1,746,1,746,360,746,
7041,4,HOUSE,VILLA,Knokke,8300,Leliedreef,5,,0,,2150000,0,1,,0,0,AS_NEW,0,0,0,883,256,883,
7042,2,APARTMENT,APARTMENT,Liège,4030,Rue Bonne Femme,61,21,1,3,159000,0,0,0,0,0,GOOD,0,0,0,,101,,
7046,3,APARTMENT,APARTMENT,Antwerpen,2020,Sint-Bernardsesteenweg,350,,1,2,209900,0,1,5,0,0,TO_RENOVATE,0,0,0,,116,,
7045,2,APARTMENT,APARTMENT,Laeken,1020,Avenue Mutsaard,77,43,1,2,185000,0,1,18,0,0,GOOD,0,0,0,,76,,
7043,2,APARTMENT,APARTMENT,Ressaix,7134,Rue des Garennes,45,,1,2,165000,0,1,30,0,0,GOOD,1,400,0,,80,,
7044,2,APARTMENT,APARTMENT,Oostende,8400,Nieuwpoortsesteenweg,31,0101,1,2,183000,0,1,1,0,0,GOOD,0,0,0,,86,,
7047,2,APARTMENT,APARTMENT,Bruxelles,1000,Rue de l'Angle,16,,1,2,249000,0,0,0,0,0,GOOD,0,0,0,,83,,
7048,3,APARTMENT,GROUND_FLOOR,Laeken,1020,,,,1,2,249000,0,1,15,0,0,TO_BE_DONE_UP,0,0,0,,105,,
7049,3,APARTMENT,APARTMENT,Namur,5000,,,,1,2,249000,0,1,4,0,0,GOOD,0,0,0,,82,,
7050,3,APARTMENT,APARTMENT,Heusy,4802,Rue Jean Gôme,39,B,1,3,415000,0,1,11,0,0,GOOD,0,0,0,,150,,
7051,3,APARTMENT,PENTHOUSE,Knokke-Heist,8300,Leopoldlaan,55,5.2,1,2,860000,0,1,33,0,0,GOOD,0,0,0,,102,,
7054,10,HOUSE,COUNTRY_COTTAGE,CHIÈVRES,7950,,,,1,4,495000,0,1,,0,0,,0,0,0,1037,513,1037,
7055,0,APARTMENT,FLAT_STUDIO,Koksijde,8670,Koninklijke Baan,78A,602,1,,179500,1,1,,0,0,GOOD,0,0,0,,,,
7052,3,HOUSE,BUNGALOW,Dilbeek,1700,Koningin Elisabethlaan,14,,1,4,429000,0,1,25,0,0,,1,280,0,770,160,770,
7053,3,HOUSE,HOUSE,De Pinte,9840,Hortensialaan,1,,0,3,439000,0,1,,0,0,,0,0,0,317,150,317,
7056,1,APARTMENT,APARTMENT,BRUSSEL,1210,LEOPOLD LENDERSSTRAAT,6,H1,1,4,245000,1,0,0,0,0,,0,0,0,,56,,
7057,4,HOUSE,HOUSE,EVERGEM,9940,Renaat Veremansstraat,6,,1,4,329000,0,0,0,0,0,TO_RENOVATE,0,0,0,0,,0,
7058,,,,,,,,,,,,,,,,,,,,,,,,
7059,4,HOUSE,VILLA,AALST,9300,,,,1,4,1175000,0,1,150,1,1,,1,1650,0,1881,522,1881,
7060,4,HOUSE,MANOR_HOUSE,GIJZEGEM,9308,,,,1,4,1175000,0,1,150,1,1,,1,1650,0,1881,522,1881,
7062,3,HOUSE,HOUSE,Dentergem,8720,Kapittelstraat,44,,0,2,178000,0,1,40,0,0,TO_RENOVATE,1,383,0,681,171,681,
7063,1,APARTMENT,APARTMENT,Sint-Denijs-Westrem,9051,Putkapelstraat,31,,0,,247000,0,0,0,0,0,,1,4,0,,56,,
7061,3,APARTMENT,PENTHOUSE,Uccle,1180,Clos Saint-Georges,1313 E,,1,4,1480000,0,1,30,0,0,AS_NEW,0,0,0,,296,,
7064,1,APARTMENT,APARTMENT,Gent,9051,Putkapelstraat,31,,0,,247000,0,0,0,0,0,,1,4,0,,56,,
7065,3,HOUSE,HOUSE,Flémalle,4400,Route de France,176,,1,4,319000,0,1,105,0,0,GOOD,1,955,0,1040,145,1040,
7067,6,HOUSE,HOUSE,Kruibeke,9150,Hendrik Mertensstraat,4,,1,3,465000,0,1,30,0,0,AS_NEW,0,0,0,130,237,130,
7066,3,APARTMENT,APARTMENT,Zottegem,9620,Knikkersteeg,8,0202,1,,445000,0,1,24,0,0,GOOD,0,0,0,,,,
7068,5,HOUSE,MIXED_USE_BUILDING,Anthisnes,4160,Avenue de l'Abbaye,23,,1,4,495000,0,1,62,0,0,GOOD,1,1368,0,1728,436,1728,
7070,4,APARTMENT,APARTMENT,Etterbeek,1040,,,,1,2,1425000,0,1,,0,0,AS_NEW,0,0,0,,370,,
7069,2,APARTMENT,APARTMENT,Woluwe-Saint-Lambert,1200,Avenue des Cerisiers,247,,1,2,325000,0,0,0,0,0,GOOD,0,0,0,,86,,
7072,2,HOUSE,HOUSE,Wachtebeke,9185,Stationsstraat,129,,1,3,289000,0,0,0,0,0,AS_NEW,1,160,0,238,125,238,
7073,3,HOUSE,HOUSE,DEURNE,2100,Mortselsesteenweg,231,,1,2,349000,0,0,0,0,0,TO_RENOVATE,1,115,0,210,136,210,
7071,4,HOUSE,HOUSE,Oostende,8400,Verenigingstraat,141,,0,,255000,0,0,0,0,0,TO_BE_DONE_UP,1,75,0,0,120,0,
7074,4,HOUSE,HOUSE,Landegem,9850,Poeldendries,33,,1,,875000,0,1,50,0,0,,0,0,1,1480,372,1480,
7075,4,HOUSE,HOUSE,Wetteren,9230,Kapellestraat,7,,1,2,429000,0,1,20,1,1,AS_NEW,1,70,0,210,186,210,
7076,2,HOUSE,HOUSE,Diksmuide,8600,Ijzerlegerstraat,15 a,,0,2,165000,0,0,0,0,0,GOOD,0,0,0,237,110,237,
7078,3,HOUSE,HOUSE,SEILLES,5300,Rue de la Ferme Romaine,21,,1,4,245000,0,0,0,0,0,,0,0,0,1190,95,1190,
