house_index,url,bedrooms,property_type,property_subtype,locality,postal_code,street,number,kitchen,facades,price,furnished,terrace,terraceSurface,fireplace,fireplaceCount,buildingState,garden,gardenSurface,pool,landSurface,livingArea,surfaceOfThePlot,typeOfSale
1349,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/20310782,1,HOUSE,HOUSE,Gent,9000,Wespstraat,61,1,2,285000,0,1,1,0,0,JUST_RENOVATED,0,0,0,25,55,25,
1350,https://www.immoweb.be/en/classified/house/for-sale/anderlecht/1070/20231408,3,HOUSE,HOUSE,Anderlecht,1070,Avenue de la Salubrité,16,1,3,425000,0,0,0,0,0,TO_BE_DONE_UP,1,65,0,200,155,200,
1351,https://www.immoweb.be/en/classified/house/for-sale/dilbeek/1700/20231410,3,HOUSE,HOUSE,Dilbeek,1700,Avenue de la Salubrité,16,1,3,425000,0,0,0,0,0,TO_BE_DONE_UP,1,65,0,200,155,200,
1353,https://www.immoweb.be/en/classified/apartment-block/for-sale/saint-gilles/1060/20260333,6,HOUSE,APARTMENT_BLOCK,Saint-Gilles,1060,Rue de Hollande,50,1,2,550000,0,0,0,0,0,GOOD,1,85,0,170,287,170,
1354,https://www.immoweb.be/en/classified/house/for-sale/saint-gilles/1060/20260332,7,HOUSE,HOUSE,Saint-Gilles,1060,Rue de Hollande,50,1,2,550000,0,0,0,0,0,GOOD,1,85,0,180,287,180,
1352,https://www.immoweb.be/en/classified/house/for-sale/wezembeek-oppem/1970/20238091,3,HOUSE,HOUSE,Wezembeek-Oppem,1970,Avenue des Cygnes Sauvages,7,1,3,495000,0,1,13,0,0,TO_RENOVATE,1,500,0,828,144,828,
1355,https://www.immoweb.be/en/classified/house/for-sale/auderghem/1160/20242317,3,HOUSE,HOUSE,Auderghem,1160,Rue Georges Huygens,56,1,2,625000,0,1,34,0,0,AS_NEW,1,155,0,220,176,220,
1356,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/20250402,4,HOUSE,HOUSE,Woluwe-Saint-Pierre,1150,Clos d'Orléans,13,1,4,995000,0,1,60,0,0,GOOD,1,400,0,712,350,712,
1357,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/vilvoorde/1800/20276559,5,HOUSE,MIXED_USE_BUILDING,Vilvoorde,1800,Aarschotstraat,2,1,2,1250000,0,0,0,0,0,TO_BE_DONE_UP,0,0,0,362,300,362,
1358,https://www.immoweb.be/en/classified/exceptional-property/for-sale/rhode-saint-genese/1640/20266267,4,HOUSE,EXCEPTIONAL_PROPERTY,Rhode-Saint-Genese,1640,Avenue des Buissons,21,1,4,1450000,0,1,100,0,0,GOOD,1,1200,1,1596,440,1596,
1359,https://www.immoweb.be/en/classified/flat-studio/for-sale/ixelles/1050/20258373,1,APARTMENT,FLAT_STUDIO,Ixelles,1050,Rue du Prince Albert,9,1,2,165000,1,0,0,0,0,AS_NEW,0,0,0,,17,,
1360,https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/20189681,2,APARTMENT,APARTMENT,Bruxelles,1000,Avenue Marnix,19A,1,2,495000,0,1,1,0,0,GOOD,0,0,0,,109,,
1362,https://www.immoweb.be/en/classified/house/for-sale/liege-grivegnee/4030/20313800,2,HOUSE,HOUSE,Liège Grivegnée,4030,Avenue Reine Astrid,54,1,2,195000,0,1,15,0,0,TO_BE_DONE_UP,0,0,0,64,135,64,
